Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-08-07,4756,,1497,2407,4495,2089,4386,5535,
2012-03-17,681,,287,422,872,468,334,1008,
2012-05-22,2315,,938,1847,2599,1610,251,2069,
2012-06-20,5713,,2402,3524,6848,3510,2363,4852,
2012-02-28,195,,0,158,350,168,9,3,
2012-06-03,269,,0,192,437,170,10,0,
2012-07-05,5552,,2573,3959,6355,3416,1848,5253,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-03-28,435,,179,329,709,486,28,529,
2012-02-04,1937,,967,1537,2853,1614,394,2122,
2012-04-21,533,,212,398,710,408,50,755,
2012-02-08,5715,,2361,3340,6956,3329,2643,4828,
2012-12-01,157,,1,134,261,137,9,63,
2012-06-16,5421,,1651,3099,4909,2337,3280,5537,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-04-09,4225,,1934,3057,5275,3006,894,3868,
2012-08-15,4297,,1882,2936,4948,2686,970,3877,
2012-09-19,4653,,2351,3176,5746,3738,840,4189,
2012-05-03,155,,1,114,363,157,8,2,
2012-02-03,143,,0,56,283,77,7,1,
2012-06-04,1633,,650,1045,1913,975,621,2138,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-09-09,3312,,1810,1828,3458,2668,2118,4355,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-03-02,174,,1,103,301,111,1,1,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-01-25,334,,1,217,453,180,4,0,
2012-06-05,3411,,1525,1815,3346,1879,2036,4633,
2012-09-01,244,,2,165,432,198,12,173,
2012-11-08,2453,,815,1589,2628,1043,1340,2608,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-10-31,2634,,1294,1835,3453,2220,245,2570,
2012-08-01,95,,1,62,98,64,11,63,
2012-01-28,80,,1,61,123,33,9,1,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-01-31,186,,1,109,324,122,0,0,
2012-09-16,3635,,1231,1614,3040,1852,2348,3696,
2012-07-06,6246,,2607,4670,8222,3972,1019,5724,
2012-07-17,2756,,1046,2001,3802,1700,569,2641,
2012-08-22,6529,,2671,4513,7065,3774,2391,5154,
2012-12-07,6179,,2371,3772,7200,3687,2433,5140,
2012-09-28,4652,,2134,3209,5372,3309,1133,4361,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-05-11,2247,,1170,1705,3221,2143,179,2430,
2012-03-26,968,,564,729,1493,965,130,1168,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-09-27,5119,,2288,3465,5983,3704,1152,4598,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-05-26,4974,,1622,2936,4991,2373,3455,5443,
2012-01-02,138,,0,100,271,71,5,0,
2012-11-04,2328,,1049,1765,3122,1843,330,2311,
2012-08-29,6327,,3092,4370,7009,3759,2152,5342,
2012-01-24,299,,1,189,444,174,4,0,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-04-05,2511,,1163,2058,3717,1823,380,2631,
2012-10-01,397,,3,238,563,275,18,241,
2012-07-18,6180,,2589,3750,7311,3654,2813,5884,
2012-11-02,71,,0,63,112,49,3,0,
2012-09-18,2530,,1277,1695,3254,2275,388,2377,
2012-02-16,386,,1,212,569,295,10,0,
2012-01-06,6097,,2604,4110,7175,3895,1692,6595,
2012-01-09,3934,,1225,2371,3917,1887,2801,3845,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-05-15,3964,,1773,3144,5088,2650,975,3765,
2012-10-02,303,,1,206,478,216,6,2,
2012-04-04,2211,,933,1674,2956,1666,274,2242,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-02-27,119,,4,94,298,134,3,5,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-02-14,318,,0,186,504,243,9,1,
2012-02-13,211,,0,175,408,207,4,0,
2012-08-03,348,,6,238,530,270,9,9,
2012-03-23,2115,,1143,1512,2955,1791,663,2325,
2012-03-18,1940,,856,1036,1923,1021,1128,2477,
2012-05-21,5129,,1646,2672,4169,2044,3413,5053,
2012-06-08,5240,,2277,3193,6375,3187,2274,4604,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-12-05,3854,,1457,2429,3894,1805,2268,4855,
2012-08-08,5498,,2313,3365,6862,3403,2226,4771,
2012-04-13,3341,,1505,2565,4465,2358,922,3728,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-10-16,3739,,1858,2684,4681,2997,554,3593,
2012-01-07,4758,,1343,2911,3935,1777,3732,4522,
2012-01-27,91,,5,79,204,65,0,0,
2012-01-20,161,,4,96,217,67,1,1,
2012-05-02,72,,0,46,133,54,7,0,
2012-03-29,878,,406,646,1264,807,78,937,
2012-08-21,5792,,2508,4063,6687,3369,2353,5640,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-09-07,5661,,2330,3524,6769,3577,2599,4987,
2012-10-28,1310,,697,910,1776,955,387,1876,
2012-09-10,4787,,2210,3026,5138,3418,927,4078,
2012-09-03,371,,8,279,575,268,8,38,
2012-01-04,662,,341,442,824,471,168,1086,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
